[2024-05-28 12:00:43,184] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,205] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,227] INFO [Broker id=0] Leader bybit_api_perpetual_linear_funding_btcfundperp-3 with topic id Some(b-d5fGwqRdO-EJ_YcTrD_Q) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,228] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,249] INFO [Broker id=0] Leader bingx_api_perpetual_oi_btcusdt-1 with topic id Some(RkIt2NffQsWDPVWXJtK-cQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,250] INFO [Broker id=0] Leader htx_api_perpetual_gta_btcposfutureperp-3 with topic id Some(QqxxyN-lSAyAA3tHerdHqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,271] INFO [Broker id=0] Leader okx_api_perpetual_funding_btcfundperp-1 with topic id Some(RhRc5O0kR3qmxJvY45K3kQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,271] INFO [Broker id=0] Leader bybit_api_perpetual_linear_funding_btcfundperp-4 with topic id Some(b-d5fGwqRdO-EJ_YcTrD_Q) starts at leader epoch 0 from offset 4 with partition epoch 0, high watermark 4, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,272] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,293] INFO [Broker id=0] Leader bingx_api_perpetual_oi_btcusdt-0 with topic id Some(RkIt2NffQsWDPVWXJtK-cQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
